Year end,Main reason for migration,All citizenships,British (Including Overseas Territories),Non-British,European Union,European Union EU15,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Middle East and Central Asia,East Asia,South Asia,South East Asia,Rest of the World,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
YE Jun 16,Going home to live,18,16,2,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
YE Sep 16,Going home to live,18,18,0~,0~,0~,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
YE Dec 16,Going home to live,19,19,0~,0~,0~,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
YE Mar 17p,Going home to live,16,16,0~,0~,0~,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
YE Jun 17p,Going home to live,16,15,0~,0~,0~,.,.,.,.,.,No,No,No,No,No,No,No,No,No,No,No
YE Sep 07,Other,:,:,:,:,:,:,:,:,:,:,9,.,2,5,3,21,7,0~,1,1,13
YE Dec 07,Other,39,4,35,4,1,2,1,.,30,0~,:,:,:,:,:,:,:,:,:,:,:
YE Mar 08,Other,:,:,:,:,:,:,:,:,:,:,7,0~,2,3,2,19,4,0~,2,0~,12
YE Jun 08,Other,32,5,27,1,0~,.,0~,.,26,0~,:,:,:,:,:,:,:,:,:,:,:
YE Sep 08,Other,:,:,:,:,:,:,:,:,:,:,5,0~,1,2,2,16,3,.,3,0~,9
YE Dec 08,Other,34,8,26,6,4,2,0~,.,20,.,:,:,:,:,:,:,:,:,:,:,:
YE Mar 09,Other,:,:,:,:,:,:,:,:,:,:,4,0~,1,2,1,13,4,.,1,.,8
YE Jun 09,Other,28,5,23,6,3,2,.,0~,17,0~,:,:,:,:,:,:,:,:,:,:,:
YE Sep 09,Other,:,:,:,:,:,:,:,:,:,:,5,1,0~,3,0~,11,3,.,2,0~,5
YE Dec 09,Other,22,3,19,3,2,1,0~,0~,16,0~,5,1,0~,3,0~,8,0~,.,2,0~,5
YE Mar 10,Other,20,3,17,4,3,2,0~,0~,13,0~,5,1,0~,3,0~,8,0~,.,2,0~,5
YE Jun 10,Other,21,3,17,4,2,2,0~,.,13,0~,4,1,1,2,0~,9,1,.,1,0~,7
YE Sep 10,Other,21,3,18,4,1,2,1,.,13,0~,2,0~,1,1,0~,9,1,.,0~,.,8
YE Dec 10,Other,19,3,16,5,1,3,1,.,11,.,2,0~,1,1,.,9,1,.,2,.,7
YE Mar 11,Other,18,2,16,4,1,2,1,.,12,0~,2,.,0~,1,.,9,1,.,2,.,7
YE Jun 11,Other,19,3,15,5,2,2,1,.,11,0~,2,0~,0~,1,.,8,1,.,1,0~,6
YE Sep 11,Other,16,2,13,3,1,2,0~,0~,10,0~,2,0~,0~,2,.,8,2,.,1,0~,4
YE Dec 11,Other,18,3,14,4,2,2,0~,0~,10,0~,2,0~,0~,2,.,11,2,.,1,0~,7
YE Mar 12,Other,19,3,16,3,1,2,0~,0~,13,0~,2,0~,0~,2,0~,11,2,.,1,0~,7
YE Jun 12,Other,19,3,17,3,2,2,0~,0~,13,0~,3,0~,0~,2,0~,10,2,.,1,0~,6
YE Sep 12,Other,19,4,15,3,1,1,0~,.,12,0~,2,0~,0~,2,0~,8,0~,.,1,0~,6
YE Dec 12,Other,18,4,14,5,2,2,.,.,10,.,2,0~,0~,2,0~,3,0~,.,0~,0~,3
YE Mar 13,Other,13,3,10,5,2,2,.,.,5,.,2,0~,0~,1,0~,3,0~,.,1,0~,2
YE Jun 13,Other,13,4,9,4,2,2,.,.,5,1,3,0~,1,1,1,4,0~,.,1,.,3
YE Sep 13,Other,17,3,14,6,3,3,.,.,7,1,2,0~,1,1,0~,5,0~,.,1,.,3
YE Dec 13,Other,16,4,12,4,2,2,.,.,8,1,4,0~,1,2,1,5,0~,.,1,0~,4
YE Mar 14,Other,20,5,15,5,3,2,.,.,10,1,4,1,1,1,1,6,0~,0~,2,0~,3
YE Jun 14,Other,22,4,18,8,3,3,2,.,10,0~,2,0~,0~,1,0~,6,0~,0~,3,0~,2
YE Sep 14,Other,20,3,17,8,1,3,4,.,9,0~,2,1,0~,1,0~,6,0~,0~,3,0~,3
YE Dec 14,Other,19,3,16,8,1,2,4,.,9,0~,2,1,0~,1,0~,7,0~,0~,3,.,3
YE Mar 15,Other,19,3,16,8,2,3,3,.,9,0~,1,1,0~,0~,.,7,1,0~,2,0~,4
YE Jun 15,Other,17,3,14,5,2,1,2,.,9,0~,2,1,0~,0~,.,6,1,0~,1,0~,3
YE Sep 15,Other,17,3,14,6,6,.,.,.,8,0~,2,1,0~,0~,.,6,1,0~,1,0~,3
YE Dec 15,Other,16,4,12,5,5,.,.,.,8,0~,3,1,1,1,.,5,1,0~,2,0~,3
YE Mar 16,Other,16,4,12,4,3,.,0~,.,8,0~,3,1,2,1,.,3,0~,.,2,.,2
YE Jun 16,Other,17,5,12,6,4,1,1,.,7,0~,3,0~,2,0~,.,4,.,.,2,.,2
YE Sep 16,Other,16,4,12,4,3,1,1,.,8,2,3,0~,2,0~,0~,4,.,.,2,.,2
YE Dec 16,Other,17,3,14,6,4,1,1,.,8,2,2,0~,2,0~,0~,5,.,.,2,.,4
YE Mar 17p,Other,21,7,14,6,4,1,0~,.,8,1,2,0~,1,0~,0~,6,0~,.,1,1,4
YE Jun 17p,Other,23,7,16,6,4,2,0~,.,10,1,No,No,No,No,No,No,No,No,No,No,Up
YE Sep 07,No reason stated,:,:,:,:,:,:,:,:,:,:,11,.,.,7,4,0~,0~,.,.,.,0~
YE Dec 07,No reason stated,22,5,16,5,1,4,.,.,11,0~,:,:,:,:,:,:,:,:,:,:,:
YE Mar 08,No reason stated,:,:,:,:,:,:,:,:,:,:,10,.,.,6,3,0~,0~,.,.,.,.
YE Jun 08,No reason stated,25,6,19,9,1,8,.,.,10,.,:,:,:,:,:,:,:,:,:,:,:
YE Sep 08,No reason stated,:,:,:,:,:,:,:,:,:,:,1,.,.,0~,1,2,.,.,.,0~,1
YE Dec 08,No reason stated,19,2,17,15,4,10,0~,.,3,.,:,:,:,:,:,:,:,:,:,:,:
YE Mar 09,No reason stated,:,:,:,:,:,:,:,:,:,:,1,.,.,0~,1,3,.,.,1,1,2
YE Jun 09,No reason stated,22,4,18,14,4,10,0~,.,4,.,:,:,:,:,:,:,:,:,:,:,:
YE Sep 09,No reason stated,:,:,:,:,:,:,:,:,:,:,1,.,0~,1,.,1,0~,.,1,.,0~
YE Dec 09,No reason stated,14,4,10,8,4,4,0~,.,3,0~,1,.,0~,1,.,1,0~,.,0~,.,.
YE Mar 10,No reason stated,12,4,8,6,4,1,0~,.,2,0~,1,.,0~,1,.,1,0~,.,0~,.,.
YE Jun 10,No reason stated,11,2,9,7,4,3,0~,.,2,0~,2,0~,0~,2,0~,1,.,.,1,.,0~
YE Sep 10,No reason stated,12,1,11,8,3,4,0~,.,4,0~,2,0~,.,1,0~,1,.,.,1,.,0~
YE Dec 10,No reason stated,11,1,10,7,3,3,0~,.,3,0~,2,1,.,1,0~,2,.,0~,1,.,0~
YE Mar 11,No reason stated,15,1,13,10,3,6,0~,.,4,0~,2,1,.,1,0~,2,0~,0~,1,.,0~
YE Jun 11,No reason stated,15,1,13,9,3,5,1,.,4,0~,2,1,0~,1,.,1,0~,0~,.,.,0~
YE Sep 11,No reason stated,15,2,14,10,3,6,1,.,4,1,2,1,0~,1,.,1,0~,0~,.,.,0~
YE Dec 11,No reason stated,16,2,14,10,2,7,1,.,5,1,2,1,0~,1,.,1,1,.,.,.,0~
YE Mar 12,No reason stated,13,1,12,8,1,6,1,.,4,1,2,0~,0~,2,.,1,1,.,.,.,1
YE Jun 12,No reason stated,13,1,11,7,1,5,1,.,4,1,1,0~,0~,1,.,1,0~,.,.,.,0~
YE Sep 12,No reason stated,7,1,6,4,2,2,1,.,2,0~,1,.,.,1,.,0~,0~,.,.,.,.
YE Dec 12,No reason stated,9,1,8,6,3,3,0~,.,2,0~,1,.,.,1,.,0~,0~,.,.,.,.
YE Mar 13,No reason stated,8,1,7,6,3,3,0~,.,1,0~,0~,.,.,0~,.,.,.,.,.,.,.
YE Jun 13,No reason stated,7,2,5,5,3,2,.,.,0~,0~,0~,.,.,0~,.,0~,.,.,0~,.,.
YE Sep 13,No reason stated,6,2,4,4,1,2,.,.,1,.,0~,.,.,0~,.,0~,.,.,0~,.,.
YE Dec 13,No reason stated,3,1,2,2,1,0~,0~,.,0~,0~,0~,.,.,0~,.,0~,.,.,0~,.,0~
YE Mar 14,No reason stated,6,2,4,4,2,1,0~,.,1,0~,2,1,0~,1,.,0~,.,.,0~,.,0~
YE Jun 14,No reason stated,7,2,6,4,3,1,0~,.,2,0~,1,1,0~,1,.,0~,.,.,.,.,0~
YE Sep 14,No reason stated,9,2,7,6,2,3,1,.,2,0~,1,1,0~,1,.,0~,.,.,0~,.,0~
YE Dec 14,No reason stated,8,2,6,5,2,2,1,.,2,.,2,1,1,1,.,0~,.,.,0~,.,0~
YE Mar 15,No reason stated,7,1,7,4,1,3,1,.,3,.,1,1,0~,1,.,0~,.,.,0~,.,0~
YE Jun 15,No reason stated,7,1,5,4,0~,3,1,.,2,.,1,0~,0~,1,.,1,0~,.,1,.,0~
YE Sep 15,No reason stated,7,1,5,3,1,1,0~,.,3,.,2,0~,0~,1,.,1,0~,.,1,.,0~
YE Dec 15,No reason stated,11,1,10,7,3,3,1,.,3,.,1,.,0~,1,.,1,0~,.,1,0~,.
YE Mar 16,No reason stated,9,2,7,5,2,2,1,.,2,.,1,.,0~,1,.,2,0~,.,1,0~,.
YE Jun 16,No reason stated,14,2,12,9,5,2,2,.,2,.,3,0~,1,1,0~,1,1,.,.,0~,.
YE Sep 16,No reason stated,15,2,14,10,6,2,3,.,4,.,2,0~,1,0~,0~,1,0~,.,0~,0~,0~
YE Dec 16,No reason stated,12,1,11,8,5,1,2,.,3,.,2,0~,1,0~,0~,1,1,.,0~,.,0~
YE Mar 17p,No reason stated,13,1,12,9,5,2,2,.,3,.,2,0~,1,0~,0~,0~,0~,.,0~,.,0~
YE Jun 17p,No reason stated,10,2,9,6,2,3,1,.,3,.,,,,,,,,,,,
