Year end,Main reason for migration,All citizenships,British (Including Overseas Territories),Non-British,European Union,European Union EU15,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Middle East and Central Asia,East Asia,South Asia,South East Asia,Rest of the World,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
YE Dec 07,No reason stated,32,27,6,3,2,1,.,0~,3,2,1,.,1,.,.,1,0~,.,0~,.,0~
YE Mar 08,No reason stated,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 08,No reason stated,23,15,8,6,4,2,.,0~,3,2,0~,0~,0~,.,.,1,0~,.,0~,.,0~
YE Sep 08,No reason stated,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 08,No reason stated,25,17,8,6,5,1,.,.,2,1,1,0~,0~,0~,0~,1,.,.,0~,0~,0~
YE Mar 09,No reason stated,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Jun 09,No reason stated,19,15,4,2,1,1,.,.,2,1,1,.,0~,0~,0~,1,.,.,0~,0~,0~
YE Sep 09,No reason stated,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
YE Dec 09,No reason stated,17,10,7,5,2,3,.,.,1,0~,1,.,0~,0~,0~,0~,.,0~,.,0~,0~
YE Mar 10,No reason stated,15,9,6,5,2,3,.,.,1,0~,1,.,0~,0~,0~,0~,.,0~,.,0~,0~
YE Jun 10,No reason stated,15,8,7,6,3,3,.,.,1,0~,0~,.,0~,.,0~,1,0~,0~,.,0~,0~
YE Sep 10,No reason stated,15,10,5,3,2,1,.,0~,1,.,1,0~,0~,0~,0~,0~,0~,.,.,.,0~
YE Dec 10,No reason stated,15,12,3,3,2,0~,.,0~,1,.,0~,0~,0~,0~,0~,0~,0~,.,.,.,0~
YE Mar 11,No reason stated,18,13,5,4,3,0~,0~,0~,1,.,0~,0~,0~,0~,0~,0~,0~,.,.,.,0~
YE Jun 11,No reason stated,17,14,4,3,2,0~,0~,0~,1,.,0~,0~,0~,0~,0~,0~,0~,.,.,.,0~
YE Sep 11,No reason stated,17,13,4,3,2,0~,0~,.,1,.,0~,.,.,.,0~,1,.,.,1,.,0~
YE Dec 11,No reason stated,16,13,4,3,2,1,0~,.,1,.,0~,.,.,.,0~,1,0~,.,1,.,0~
YE Mar 12,No reason stated,15,12,3,2,1,0~,0~,.,1,.,0~,.,.,.,0~,1,0~,.,1,.,0~
YE Jun 12,No reason stated,16,10,5,3,1,2,0~,.,2,.,1,.,.,0~,0~,1,0~,.,1,.,0~
YE Sep 12,No reason stated,16,10,6,4,2,2,0~,.,2,.,1,0~,0~,0~,0~,1,0~,.,0~,.,0~
YE Dec 12,No reason stated,17,8,8,6,3,3,0~,.,2,.,2,0~,0~,1,0~,1,0~,.,0~,.,0~
YE Mar 13,No reason stated,16,8,8,6,3,3,0~,.,2,.,2,0~,0~,1,0~,0~,0~,.,.,.,0~
YE Jun 13,No reason stated,17,11,6,4,3,2,.,0~,2,.,1,0~,0~,0~,0~,0~,.,.,0~,.,0~
YE Sep 13,No reason stated,17,11,6,5,3,2,.,0~,1,.,1,0~,0~,0~,0~,1,0~,.,0~,.,0~
YE Dec 13,No reason stated,15,12,3,2,1,1,.,0~,1,.,0~,.,0~,0~,0~,1,0~,.,0~,.,0~
YE Mar 14,No reason stated,17,14,3,2,1,1,.,0~,1,.,0~,.,.,0~,0~,1,0~,.,0~,.,0~
YE Jun 14,No reason stated,17,12,5,3,2,1,.,.,1,1,0~,.,.,0~,0~,1,0~,.,0~,.,0~
YE Sep 14,No reason stated,18,14,4,3,2,1,0~,.,1,1,0~,.,0~,.,.,0~,.,.,0~,.,0~
YE Dec 14,No reason stated,18,13,5,3,2,1,0~,.,2,1,1,.,0~,0~,.,0~,0~,.,0~,.,0~
YE Mar 15,No reason stated,17,12,5,3,2,1,0~,.,2,1,1,.,0~,0~,0~,0~,0~,.,0~,.,0~
YE Jun 15,No reason stated,18,14,3,2,1,1,0~,.,1,.,1,.,0~,0~,0~,0~,0~,.,0~,.,0~
YE Sep 15,No reason stated,16,13,3,2,2,1,.,.,1,.,1,.,0~,0~,0~,1,0~,.,0~,0~,.
YE Dec 15,No reason stated,20,15,5,3,3,0~,0~,.,1,.,1,.,0~,.,0~,1,.,.,0~,0~,0~
YE Mar 16,No reason stated,23,17,6,5,3,1,1,.,2,.,1,.,0~,0~,.,1,.,.,1,0~,0~
YE Jun 16,No reason stated,23,15,8,7,5,1,1,.,2,.,1,.,0~,0~,.,1,.,.,1,0~,0~
YE Sep 16,No reason stated,27,19,9,7,5,1,1,.,2,.,1,.,0~,0~,1,1,.,.,0~,.,0~
YE Dec 16,No reason stated,25,16,9,7,4,3,1,.,2,.,1,.,0~,0~,1,0~,.,.,0~,.,0~
YE Mar 17p,No reason stated,21,14,7,6,3,2,0~,.,2,.,1,.,0~,0~,1,1,.,.,.,.,1
YE Jun 17p,No reason stated,24,15,8,7,4,3,0~,.,2,.,1,.,0~,0~,1,1,.,.,0~,.,1
